10000,103,2
10000,100,5
10000,100,7
10001,106,7
10001,109,10
10002,100,3
10002,106,14
10003,100,13
10003,109,13
10003,107,12
10003,101,8
10004,108,3
10004,107,3
10004,104,3
10004,102,12
10004,108,2
10005,100,4
10005,106,14
10005,109,9
10005,107,14
10006,105,1
10007,102,1
10007,100,15
10007,106,12
10007,104,14
10008,104,2
10008,104,4
10009,100,2
10009,105,4
10009,103,4
10009,103,5
10010,103,8
10010,105,11
10010,106,10
10010,101,2
10010,107,7
10011,107,13
10012,106,5
10012,102,15
10012,109,8
10012,102,3
10012,100,4
10013,108,13
10014,101,11
10015,107,14
10015,108,1
10015,101,6
10016,104,13
10017,107,5
10017,109,4
10018,106,15
10018,100,1
10018,101,8
10018,103,14
10018,105,6
10019,106,3
10019,102,6
10019,105,15
10019,102,8
10020,105,8
10020,100,10
10020,107,11
10020,105,5
10021,108,5
10021,102,6
10021,103,15
10021,100,11
10022,102,8
10022,109,8
10023,105,4
10024,104,15
10024,109,1
10024,100,10
10024,100,14
10025,101,10
10025,104,8
10026,101,8
10027,100,4
10028,109,6
10028,105,5
10028,108,6
10029,108,7
10029,103,14
10029,109,3
10029,106,9
10029,100,8
10030,105,12
10030,101,10
10030,105,4
10031,104,8
10031,105,5
10032,107,5
10032,100,13
10032,100,12
10032,100,3
10032,106,5
10033,106,6
10034,103,4
10034,104,14
10034,104,15
10035,103,2
10035,101,1
10035,100,2
10035,107,1
10036,108,11
10037,102,9
10038,107,11
10038,102,1
10038,102,7
10038,100,1
10039,105,13
10039,103,15
10039,102,3
10040,106,14
10040,107,15
10040,100,12
10040,102,12
10041,108,15
10041,105,4
10041,105,9
10041,106,10
10042,105,4
10043,101,13
10043,104,7
10043,100,11
10043,108,6
10044,109,8
10044,109,8
10044,104,10
10044,104,8
10045,102,13
10045,109,12
10045,105,11
