001;300000;001;9,8;10
002;1000000;001;19;24
003;156000;001;20,7;12
004;100000;001;10,2;10
005;236000;001;7,8;12
006;200000;001;5,4;12
007;100000;002;20;10
008;50000;002;13,4;12
009;35000;002;14,8;8
010;450000;002;16,8;24
011;500000;003;12,2;10
012;850000;003;10;12
013;100000;003;8,9;15
014;700000;003;15,5;24
015;1000000;004;18,3;20
016;100000000;004;14,3;36
017;500000;004;7,3;10
018;700000;005;15,3;12
019;350000;005;10;10
020;750000;006;12,2;12
021;310000;006;4,7;12
022;654000;006;8,7;10
023;1520000;006;14;24
024;7500000;007;15,5;12
025;6230540;007;10;24
026;10000000;007;12,3;24
027;780000;007;18;24
028;2000000;008;5,7;12
029;20000000;008;12,6;24
030;150000;008;15;3
031;850000;008;28,4;10
032;742000;008;23;20
033;1000000;009;14,7;10
034;250000;009;12,5;12
035;659800;009;17,4;24
036;100000000;009;10;48
037;1700000;010;14,4;12
038;450000;010;12,3;10
039;10000000;010;15;24
040;7500000;010;11;24
041;600000;011;12,8;12
042;590000;011;10;12
043;150000;011;17,5;10
044;200000;011;14;12
045;950000;012;15,6;24
046;365000;012;14,2;12
047;300000;013;11,1;12
048;120000;013;10;10
049;201000;013;13,7;12
050;1250000;013;12;24
051;987000;013;17,6;24
052;50000000;014;12,7;48
053;750000;014;10;12
054;125000;014;11,2;12
055;1250000;014;10;24
056;100000;014;17,6;6
057;165000;014;14;12
058;320000;014;11,5;12
059;300000;014;11;12
060;780000;014;11;24
061;450000;015;25;24
062;120000;015;10,3;6
063;780000;016;14,2;10
064;120000;016;10;12
065;320000;016;14,2;12
066;100000;017;13,2;12
067;1250000;017;12,9;12
068;896000;017;13,7;24
069;753000;017;19,8;12
070;250000;017;23,4;10
071;2000000;018;16,4;24
072;250000;018;11;12
073;100000;018;10,4;10
074;450000;019;12,1;12
075;879000;019;20;24
076;250000;020;15,5;10
077;650000;020;11,3;12
078;789000;020;18,8;12
079;1200000;020;14,4;12
080;30000000;020;12,2;24
081;750000;021;14,5;10
082;1000000;021;16,6;12
083;1560000;021;14,4;15
084;100000;022;10;10
085;420000;022;14,3;12
086;678000;022;15;12
087;16000000;022;4,5;36
088;750000;023;17,6;18
089;125000;023;12,4;10
090;1300000;023;11,9;24
091;126000;024;10;12
092;500000;024;12;12
093;456000;024;13,6;15
094;1000000;024;13,3;24
095;8500000;024;20;36
096;370000;025;11;12
097;100000;025;7,6;3
098;987000;025;13,3;12
099;13500000;025;16,4;24
100;50000;026;13,9;6
101;350000;026;11;10
102;150000;026;12,7;12
103;3500000;026;24,7;24
104;1250000;027;12,4;12
105;423000;027;10;12
106;120000;027;7,8;10
107;2000000;027;12,5;24
108;500000;028;14,5;12
109;750000;028;12,2;12
110;650000;028;10;10
111;150000;029;12,4;10
112;350000;029;10;12
113;500000;029;11,9;12
114;7500000;029;12,3;24
115;750000;030;11;10
116;1560000;030;10;16
117;890000;030;14,7;12
118;450000;030;12;12
119;35000000;030;15;48
