21,6,19,1
30,9,4,7
17,7,6,6
9,10,30,7
11,4,26,2
1,5,20,8
17,2,13,4
22,1,5,1
11,1,2,10
1,1,15,12
35,5,8,1
14,7,27,6
31,10,24,8
10,4,7,4
29,2,10,7
32,9,13,1
37,4,7,9
38,9,6,6
12,2,28,6
35,5,8,8
35,7,26,10
39,2,1,1
39,7,24,7
34,5,17,4
7,5,28,12
37,9,26,3
9,8,29,8
8,4,27,4
32,2,3,8
9,3,28,9
25,8,27,5
28,2,5,2
38,2,2,7
2,3,2,8
2,5,27,8
28,6,7,12
35,9,26,5
10,1,9,8
30,3,12,4
24,7,9,8
21,1,12,5
21,9,12,12
36,7,30,7
30,9,5,8
32,9,23,5
2,6,23,9
32,5,26,9
7,5,13,7
3,10,15,5
23,7,4,1
22,7,8,2
1,2,4,10
4,7,27,7
6,4,16,8
27,7,18,7
32,6,24,3
9,10,2,10
6,5,29,10
29,4,26,10
3,1,16,10
1,10,5,6
33,1,21,7
8,6,10,4
11,8,25,12
4,7,13,1
13,8,2,7
18,1,15,10
37,8,8,6
22,5,1,9
10,10,29,5
25,10,26,12
28,7,27,12
15,10,7,6
24,10,12,7
37,9,11,6
10,8,20,5
27,5,5,7
10,5,13,2
23,7,25,3
25,4,7,9
30,9,18,8
32,8,6,2
18,10,10,6
23,9,12,8
39,10,24,3
1,6,5,4
4,5,6,9
17,4,6,9
26,8,4,6
30,2,23,9
26,4,31,5
30,1,4,4
18,1,28,10
9,10,30,9
2,4,16,8
36,3,26,3
3,6,23,4
31,8,21,7
40,1,14,10
35,7,27,8
18,3,6,5
13,5,19,8
27,3,18,9
13,2,11,4
35,9,6,6
37,6,22,12
22,2,1,4
3,6,30,12
3,2,15,11
8,3,12,3
20,1,18,1
16,7,13,7
3,2,3,7
33,1,27,10
34,10,13,8
39,4,4,10
30,10,11,6
37,3,18,10
20,3,1,8
30,8,5,4
24,6,11,10
22,9,19,2
11,4,30,1
6,7,21,2
36,4,2,11
37,2,17,12
12,7,13,12
21,7,22,11
7,10,14,11
35,10,18,11
18,3,7,4
33,5,21,5
3,10,16,8
5,5,21,3
38,7,26,10
14,8,1,6
21,6,12,8
27,7,3,10
1,10,24,5
40,1,27,12
12,4,2,5
32,6,4,2
26,6,28,4
16,3,21,5
33,1,17,3
27,10,11,12
23,7,11,10
26,9,20,9
20,2,16,1
7,6,4,8
1,1,2,5
33,6,7,4
9,7,3,10
16,4,25,2
39,1,3,2
9,6,30,5
14,1,20,7
24,9,4,1
11,1,25,3
13,1,20,3
38,5,11,10
15,9,23,3
32,7,7,7
19,2,29,11
17,3,23,2
34,6,27,7
38,10,21,3
9,9,3,6
16,10,21,1
23,10,17,12
2,4,21,1
18,10,1,6
11,7,27,12
30,3,27,6
32,8,25,2
14,2,25,6
23,2,10,12
4,3,16,1
6,5,12,8
30,2,19,5
9,6,3,2
38,1,1,12
31,8,26,3
26,8,13,9
28,9,27,11
7,9,19,10
7,1,13,4
1,7,25,3
39,1,27,2
3,1,18,12
18,4,10,12
29,5,11,5
10,7,20,9
15,8,5,1
17,5,25,7
32,1,28,5
30,5,11,7
38,7,4,12
28,4,9,11
30,4,20,10
2,8,16,10
38,6,21,11
40,7,29,9
17,8,3,1
23,4,22,9
11,7,12,8
17,8,29,10
24,2,25,5
28,2,20,2
28,3,26,2
38,6,6,8
15,5,25,8
32,2,4,1
15,1,10,11
32,1,17,11
9,6,4,8
10,3,13,11
33,6,31,12
14,10,22,8
31,3,27,12
39,8,20,5
15,5,23,6
22,5,13,4
15,9,7,10
7,7,2,12
6,3,6,4
38,3,9,10
7,2,8,7
30,10,28,4
17,7,24,4
22,4,4,6
14,10,18,3
21,9,2,8
23,9,14,2
31,1,5,6
20,6,24,8
14,3,8,4
15,4,27,3
28,4,23,6
12,9,20,5
10,8,27,2
32,8,25,12
8,1,1,9
17,8,10,1
40,6,15,4
20,4,25,2
6,6,27,2
21,4,3,10
1,2,18,1
11,2,5,8
4,3,11,9
30,8,6,6
30,3,16,8
27,8,20,7
19,1,13,12
4,7,7,11
3,3,18,5
15,5,8,11
17,7,30,9
13,9,20,1
21,7,28,4
26,5,15,8
14,8,18,5
32,9,23,10
15,7,5,4
34,4,11,1
35,8,30,5
37,5,22,9
19,8,27,11
26,3,8,7
